temp_C,whole_seq,1arm_mod_seq,2arm_mod_seq,3arm_mod_seq,4_1arm_mod_seq,sensor_Binary,sensor_DNM,core_DNAzyme,core_G-quadruplex,analyte_amplicon,analyte_dsDNA,analyte_ssDNA,class_2
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-8.7,-5.0,,False,True,True,False,False,True,False,0
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,0
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,1
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,1
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,1
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,1
23,-10.1,-4.2,-0.4,,,True,False,True,False,True,False,False,1
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,0
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,1
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,1
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,1
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,1
23,-10.1,-4.2,-4.5,-10.5,,False,True,True,False,True,False,False,1
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-0.5,,,True,False,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-11.6,-5.4,-11.8,-1.5,,False,True,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-3.3,-4.4,,,True,False,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-12.4,-4.2,-10.3,-10.2,,False,True,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-8.3,,,True,False,True,False,False,True,False,0
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
